"";"x"
"4746";"@Katselos Απαράδεκτοι! Έκαψαν και μια δομή ΜΚΟ! Αυτά πρέπει να σταματήσουν!"
"4747";"@Vaskoss4 γαμησε τα."
"4748";"- Πάρτε το 1142 απ' το τσιγάρο είναι..."
"4749";"@dentinpaleuo Μπάζερ ξερεις και από σεισμούς"
"4750";"@mhdeiasaganaki @ntsilinikos <U+0001F602><U+0001F602>"
"4751";""
"4752";"Κατάφερα και μπήκα σε λάθος λεωφορείο! Αυτά παθαίνεις άμα κοιμάσαι 6ωρα"
"4753";"... ξέρουν ότι δεν πρόκειται να τους πουν τίποτα και κάνουν και λένε ότι θέλουν. Περιμένουμε απάντηση από την κυβέρνηση @ellinikilisi "
"4754";""
"4755";"Ξεχάσατε να πείτε, πως και οι επενδύσεις μηδενικές είναι! "
"4756";"<U+0001F917><U+0001F61C>"
"4757";"@EFSYNTAKTON @xstefanou Καλητερο πλυντήριο κάθε φασισμού η Αριστερά."
"4758";"Εύγε Συνεχίστε σας πηρανε χαμπάρι μέχρι και τα κοάλα."
"4759";"τώρα με ΕΚΠΤΩΣΗ ΔΙΔΑΚΤΡΩΝ 30-35%"
"4760";"Ο Καίσαρας νίκησε τους Γαλάτες."
"4761";"@IamKostasT Έχουν γίνει κλινικές μελέτες;"
"4762";"Από τις επτά σήμερα το πρωί συνεχίζεται η ρίψη χημικών στο Τελωνείο των Καστανεών, η οποία είχε σταματήσει στις δύο τα ξημερώματα."
"4763";"Τον επικεφαλής του Ευρωπαϊκού Μηχανισμού Σταθερότητας (@ESM_Press), Κλάους Ρέγκλινγκ δέχθηκε σήμερα ο πρωθυπουργός @kmitsotakis, στο Μέγαρο Μαξίμου."
"4764";""
"4765";" "
"4766";"#WomensDay "
"4767";"@Marianthi___ @stratos_juve Ακόμα υπάρχουν άνθρωποι που τον υπερασπίζονται;"
"4768";"Pt.2"
"4769";"#IStandWithGrecee "
"4770";" "
"4771";"@MeTrweiToTattoo @KaitiHimou Ομολογώ ότι σε χρησιμοποίησα για να κερδίσω αυτό το πολύτιμο λουλουδάκι από την ωραία Καίτη μας."
"4772";"Με τον κορωνοϊό κινδυνεύουν να χάσουν την ζωή τους δεκάδες ή εκατοντάδες Ελληνες..."
"4773";"Ωραίο Σαββατάκι, γαμώ το κερατάκι."
"4774";"Αυτοκαταστροφη.."
"4775";"@theodoraaigina Χρόνια πολλά! Χρόνια γεμάτα υγεία και χαρά!<U+0001F33A><U+0001F33F><U+0001F33A><U+0001F33F><U+0001F33A> "
"4776";"Δεν είναι εντελώς βέβαιη η εξέλιξη της σημ, είναι όμως το γενικό της περίγραμμα (όπως φαίνεται στην προσαρμογή από το Ετυμολογικό #λεξικό της ΝΕ  #Μπαμπινιώτης "
"4777";"#greeklanguage #orthodoxy #Κυριακή_Ορθοδοξίας "
"4778";"@bpapapanagiotou Και να δείτε, που οι αναλώσιμοι, οι χαζοί και οι με το αζημίωτο... είναι όλοι μία κατηγορία!"
"4779";"τύχη βουνό να έχει για βάση το Θέμη Αδαμαντίδη!! #stinigiamas"
"4780";"μπάαααι Τζένη!! #adinamoskrikosgr"
"4781";"Γνήσιος Διακόπτης Φρένων-Βαλβίδα ΣΤΟΠ 1C0945511A RDW -  "
"4782";"Φίλτρο Καμπίνας <U+02BC>νθρακος (A/C) Mann 1J0819644A -  "
"4783";"@T_Bazotis Να είσαι καλά.<U+0001F98B>"
"4784";"@papadimoulis @Lykoskoufis_G @kmitsotakis Τι τα λες στο τουιτερ; 80 βουλευτές έχει ο ΣΥΡΙΖΑ πάρτε σβάρνα τα κανάλια, βγείτε στα κάγκελα. <U+02BC>μα συνέχισετε έτσι 50% θα πάρει ο κουλης."
"4785";"@GiannaIoa @sjZjorfDt5DPZBd καμία υποστήριξη. τα χάπια της να πάρει στις 5 έχει προαυλισμο"
"4786";"@nihiliensis παίξε μπαλιτσα με το κουοτ. χέστηκα τι κατάλαβες"
"4787";"Θα σας πω για την Ιωάννα. Πιτσιρίκα η Ιωάννα, κοριτσάκι απροβληματιστο. Η Ιωάννα λοιπόν γίνεται κουμπάρα κ με σέρνει μαζί της στα μαγαζιά 2 μήνες τώρα για να διαλέξει στολισμό. Που να ξέρει η Ιωάννα μπροστά σε όσα έχω εγώ στο μυαλό μου πόσο ανούσιο μου φαίνεται όλο αυτό..."
"4788";"@sjZjorfDt5DPZBd @GiannaIoa παιδιά είσαστε τόσο κατεστραμμένοι που φτιάχνετε ακαου για να πείτε τη μαλακία σας. από το πρώτο σου κότα ε;"
"4789";"συλλογικό τόμο, «Εξωτερικές σχέσεις της ΕΕ» (εκδ. Σιδέρη). Ο τόμος αποτελεί την πρώτη, στην ελληνική βιβλιογραφία, προσπάθεια συνολικής μελέτης της διεθνούς παρουσίας της ΕΕ. @I_SIDERIS"
"4790";"@SterGian @gio_rgos_ Μετά τις 12"
"4791";"Τι "
"4792";"Συγχαρητήρια πολλά πολλά Μπράβο για τους καλούς φίλους στο Αγώνα μας ΕΣΚΑ "
"4793";"@Rantanp49061536 Πρόεδρε δεν βγάζετε μια ανακοίνωση ότι ο καπνός του τσιγάρου ""ζαλίζει"" τον covid 19 μήπως και γλυτώσουμε το κρύο έξω απ τις καφετέριες;;"
"4794";""
"4795";"Να ασκήσουμε βέτο αν δεν ακυρώσει το μνημόνιο με την Λιβύη και δεν πάρει το σκάφη απο την ΑΟΖ Κύπρου και αναγνωρισει τα σύνορα μας σαν Έλληνες θα τους χτυπήσουμε δεν κολωνουμεΤα σκληρά παζάρια του Ερντογάν με την Ευρώπη -Τι ζητεί και τι προτίθεται να κάνει "
"4796";"Ο λαός δε συναινεί! Μαζικές διαδηλώσεις αλληλεγγύης σε πρόσφυγες-μετανάστες, ενάντια σε πόλεμο-ιμπεριαλισμό-εθνικισμό  "
"4797";"@pioannidis1973 @KostasVaxevanis Θα πρεπε να γίνει κάποια απ/ ευθείας ανάθεση λογικά... <U+0001F61D>"
"4798";"@OlgaKoum Αυτή δεν ήταν πού έβγαινε στα κανάλια για τόν Παντελίδη για να ανεβάσει το κασέ της σαν βίζιτα ????"
"4799";"@ErikMarquardt @kyrosgranazis_ @vonderleyen Είναι πολύ εύκολο να μιλάτε και να επιρρίπτετε ευθύνες χωρις μάλιστα να γνωρίζετε την πραγματική αλήθεια, την στιγμή που η δική σας είναι ο κύριος λόγος μεγάλων δεινών στους πληθυσμούς άλλων κρατών..."
"4800";"@platitudinous ένας φίλος ιταλός μου είπε ότι απλά είναι σχεδόν εμμονικοί με τους ελέγχους. Με το που βρήκαν κάποια κρούσματα, ελέγξαν τους πάντες γύρω τους -ολόκληρα χωριά- και τους βρήκαν."
"4801";"Γαμώ τις χρονιές το 2020"
"4802";"Δεν νομίζω να υπάρχει άνθρωπος, που να μην έχει κλάψει σε αυτή τη ζωή."
"4803";"Καλό βράδυ."
"4804";"Να είσαι καλά."
"4805";"Σοβαρότητα, υπομονή και σύνεση. Και στόχοι της προκοπής. Έτσι πας μπροστά."
"4806";"#psychologynowgr #psychology "
"4807";"ΟΤΑΝ ΜΕΓΑΛΩΣΟΥΜΕ ΘΑ ΓΙΝΟΥΜΕ ΚΙΤΡΙΝΑ ΓΙΛΕΚΑ"
"4808";"Διευθυντής Ινστιτούτου Παστέρ: Ασύμμετρη απειλή ο νέος κορωνοϊός  "
"4809";"Υβριδικός εμφύλιος  "
"4810";"Κορωνοϊός: Ύποπτο κρούσμα στη Λαμία - Η γυναίκα είχε ταξιδέψει στους Αγίους Τόπους"
"4811";"@alexandrossarri Οι φοιτητές είναι πολλές φορές αγνώμονες, κύριε. Υπήρξα φοιτητής και αγνώμων."
"4812";"@kkoufaki @ste506 ΟΚ, θα συμβουλεύουμε εμείς την κ. Γιαμαρέλλου. Δεκτό..."
"4813";"@mpampis44334937 Δεν καταλάβατε την εσωτερικότητα της δήλωσής της. Δεν είναι κακό. Ούτε εγώ την κατάλαβα στην αρχή. Αλλά ρώτησα και έμαθα..."
"4814";"Δες τι κοινοποίησα: "
"4815";"@jQ6GagvJf2CcDQN Μέχρι στιγμής 0. Υπάρχουν ενδείξεις ότι όντως είναι 0 άντε και ένα αόρατο 1000, αλλά αν δεν περάσουν 4 βδομάδες δεν μπορείς να ξέρεις... Όλα αυτά κατόπιν σχετικών δεδομένων."
"4816";"«Όποιος θέλει να χωρίσει να σηκώσει το χέρι του»! @ Θέατρο ΗΒΗ "
"4817";"Η παράξενη ηρεμία της νυχτερινής ζωή της Αθήνας!  "
"4818";"@bpapapanagiotou αυτο δεν ειναι αιτία πολέμου?"
"4819";"Καλού κακού όσοι πάτε να μεταλάβετε το επόμενο διάστημα έχετε μαζί ένα μπουκαλάκι με Spirytus Vodka, 95% αλκοόλ. Πιείτε μια καλή τζούρα στα καπάκια, δεν θα κολλήσετε τίποτα! #coronavirus #COVID<U+30FC>19 #κοροναιος #κορονοϊος"
"4820";"Ευρεία σύσκεψη στο Μαξίμου για τον κορονοϊό - Πληροφορίες στο «1135» "
"4821";"Τώρα στις Σέρρες: <U+0093>Ο κύβος ερρίφθη<U+0094> η κλειστή δομή φιλοξενίας θα γίνει στη Βυρώνεια(Εικόνες&amp;Βίντεο)  "
"4822";"Κορωνοϊός:βΔραματική κατάσταση στην Ιταλία <U+0096> 1.145 νέα κρούσματα σε 24 ώρες -36 νεκροί σε μια μέρα, σύνολο 233  "
"4823";"Αυτή είναι η 24ωρη γραμμή του ΕΟΔΥ για τον κορονοϊό! Σε λειτουργία από σήμερα  "
"4824";"Εκτός MasterChef προσωρινά ο Πάνος Ιωαννίδης! Η απόφαση της παραγωγής<U+0085>  "
"4825";"H Ελλάδα για ακόμη μια φορά εδραιώνεται στη συνείδηση των Ευρωπαίων ως προβληματικό κράτος και αυτό δεν θα αλλάξει με καμία αναπαραγωγή των δηλώσεων Πέτσα από χρήστες των σόσιαλ."
"4826";"<U+0001F4CD>Ψάρι, Κόρινθος "
"4827";"Η ευκαιρία των τραπεζών για κέρδη από τα ελληνικά ομόλογα "
"4828";"@Chiguire79 μέ ένα σμπάρο δυό τρυγώνια : καί χλευασμός τών Ελλήνων αντιφασιστών, καί ξέπλυμα τών δολοφονιών πού διαπράττει ό Ισραηλινός στρατός στα κατεχόμενα , όλα αυτά μέ μία εσάνς Κολωνακίου..."
"4829";"Mόλις έριξα ένα ριπορτ στο σκουπίδι τον Τζήμερο."
"4830";"@elenacou @Dora_Bakoyannis Αφού είναι ένα <U+0001F92A>"
"4831";"@niktrah Ίσα-ίσα που συμφωνώ μαζί σας. Λέω ότι είναι εύκολο σε κάποια δημοσκόπηση να βγάλεις το αποτέλεσμα που θέλεις. (Γι' αυτό θεωρούνται πιο φερέγγυες οι δημοσκοπήσεις που επαναλαμβάνονται σε βάθος χρόνου)"
"4832";"Να μην μιλήσω για τουρκικούς λογαριασμούς που ""έκαναν πάρτι"" το προηγούμενο ΣΒΚ επειδή είχαν ξεγελαστεί οι μετανάστες και μαζευόταν στα ελληνοτουρκικά σύνορα."
"4833";"Η ανάπτυξη έχει μαντικές ικανότητες. Θυμάστε που ο ρυθμός της αυξανόταν επειδή ήξερε πως θα ερχόταν ο Κούλης. Από Ιούλη μέχρι Δεκέμβρη έπεφτε επειδή ήξερε πως θα έρθει ο κορωνοϊός #κυβέρνηση_Μητσοτάκη "
"4834";"Η Τουρκία 1) δημιουργεί το πρόβλημα προβάλει την εικόνα στη διεθνή κοινότητα, ότι η κακή Ελλάδα δεν τους βοηθά. 2)  βομβαρδίζει και εισβάλει στη Συρία δημιουργώντας το προσφυγικό πρόβλημα και αυτοί που βομβαρδίζονται εμπιστεύονται την Τουρκία για να συνεχίσουν τη ζωή τους.??????? "
"4835";"ή ιμπεριαλιστικός πόλεμος»"
"4836";"-«Σύλλογος Κυνηγών Λαθρομεταναστών "
"4837";"- Η κότα ο Μπαρμαρούσης με τις"
"4838";"@Pantafitaki Κλαιω<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"4839";"Απλό και διαφοροδιαγνωστικό!"
"4840";"#Αυτιάς Ένας φίλος μου έφτιαξε λογισμικό όπου: Όταν μιλάει ο Γιώργος -αυτόματα- κλείνει η φωνή, στη συνέχεια, όταν μιλάει άλλος, πάλι αυτόματα, ανοίγει."
"4841";""
"4842";"Με βρίζουν επειδή ειμαι αριστερή και πάω σε πορείες."
"4843";"@KriLilian Ναι εννοείται να τα πλένουμε αλλά κάθε 10' φυσάω μύτη πλένω χέρια. Στο τέλος ξάπλωσα να μην πιάνω τπτ γιατί βαρέθηκα <U+0001F602>"
"4844";"«Φιλέλληνες ακτιβιστές» αποκαλούσαν τους Γερμανούς νεοναζί οι Μυτιληνιοί συνεργάτες τους! "
"4845";"Παράξενη εισβολή στο σπίτι του Μ. Κυπραίου - Έκλεψαν σκληρό δίσκο, κάρφωσαν με μαχαίρι φωτογραφία του "
"4846";"Κορονοϊός: Καρράς, Πλούταρχος, Κοκκίνου και Στικούδη σταματούν τις εμφανίσεις τους "
"4847";"Παντρεύεται ο «Βαγγέλης Χαμπέας» (Video) "
"4848";"Στόχος επίθεσης ο Κυνηγετικός Σύλλογος Θεσσαλονίκης - Προσαγωγές υπόπτων "
"4849";"«Νέα Σελίδα»: Νέα ανακοίνωση - καρφί των εργαζομένων "
"4850";"@Eleni86825997 Έγινε το πρώτο βήμα."
"4851";"Χάσατε την μάσα από τα ανεξέλεγκτα χρήματα που παίρνατε οι αλληλέγγυοι."
"4852";"ναι, σε αυτό με την μηδενική ανάπτυξη"
"4853";"νομίζω φταίει και ο ανάδρομος Ερμής που η κυβέρνηση δεν έπιασε τον στόχο της"
"4854";"Το Belladonna ακούγεται μ' ένα μπουκάλι τζιν αγκαλιά. Βασικά όλο το Industrial Silence"
"4855";"@akou90 @EhSYy9vWDnyIEc2 @chris_vekios Καλο απογευμα"
"4856";"@gminore_prelude @mr_elvizzz τα ζωα οι Αριστεροί ένας ένας βγαινουν απο τα λαγούμια τους."
"4857";"Μια ζωή εκ του ασφαλούς ΔΕΙΛΟΙ κ ΠΑΠΑΡΕΣ!"
"4858";"ΝΟΙΑΖΟΜΑΙ - ΠΑΪΣΙΟΣ ΟΙ ΠΡΟΦΗΤΕΙΕΣ ΓΙΑ ΤΗΝ ΠΟΛΗ!  μέσω του χρήστη @YouTube"
"4859";" "
"4860";"Έλεος.. "
"4861";"<U+0001F3AC> "
"4862";"Γιατί απατούν τους συντρόφους τους οι Έλληνες και οι Ελληνίδες;  "
"4863";"@Theo90950852 χρόνια πολλά φίλε με υγεία και ότι καλύτερο."
"4864";"@FiDELiO_Yorgos @Lnzlpd Συνεπως θες φιλη!"
"4865";"Πάω Μρκετ θέτε κάτι?"
"4866";"Αν προσθέσεις και ωτοασπίδες να μην ακούς τίποτα είσαι ο πιο ευτυχισμένος άνθρωπος, ξεκάθαρα! "
"4867";"Ο πρίγκιπας διάδοχος της Σαουδικής Αραβίας συνέλαβε συγγενείς του για προδοσία "
"4868";"Favorited ""Τατουάζ στον Παράμεσο #3: Μικρός τα άκουγα""  by Νεφέλη Αρδίττη"
"4869";"@eftichia_v @Kalli64310369 <U+0001F602> ε όχι τότε. Θα έρθουμε όταν γυρίσεις <U+0001F60E>"
"4870";"Μην συνωστιζεστε στις εκκλησίες,τι κατάλαβε η γειτονιά μου,ανοίγουμε το εκκλησάκι που δε χωρανε 2 άνετα,μπαίνετε όλοι μέσα κ ο,τι γίνει"
"4871";"Η πρόσφατη μεταναστευτική κρίση στον Έβρο,"
"4872";"@kyrosgranazis_ Κλαίω <U+0001F602><U+0001F603><U+0001F605><U+0001F923>"
"4873";"Με βρίζει το άγριο το ρύζι."
"4874";"#Hacker "
"4875";"Σε άλλα νέα <U+0001F4F0> εξαντλήθηκαν τα χαρτιά υγείας σε περιοχή του Βορείου Λονδίνου. Δεν είμαστε μόνοι αδέρφια <U+0001F631>"
"4876";"@herogrig Αυτο δεν μπορω να καταλαβω...δηλαδη δεσαμε τον γαιδαρο 25 χρονια κ ειναι οκ! Και μετα παραπονιουνται οτι δεν πανε καλα τα πραγματα κ δεν εχουν δουλεια!"
"4877";"@xa_xa_xa_xo_xo Έχει πολύ μπασκετ μέσα του δ το αμφισβήτει κανείς φάνηκε μόνο από τα pump fakes π έκανε με την Μακάμπι σωματικά είναι ένα βήμα πίσω από τα πιο πολλά γκανρτ της Ευρωλίγκας"
"4878";"@mmoutafides @kmitsotakis Βασικά μήπως να καλέσουμε στρατό του Ισραήλ να ξεκαθαρίσει η κατάσταση σε 1-2 μέρες? Τα ίδια υποφέρουν κι αυτοί από εισβολείς."
"4879";"Δεν είναι πλέον δήθεν αυταπάτες που  αντικατέστησαν τη υβρη γερμανοτσολιάς και δηθεν πάσχοντες από σύνδρομο Στοκχολμης με το ρατσιστής και ακροδεξιό. Οσους για πολλά χρονια ψήφιζαν ολες τις εκδοχες κεντροαριστεράς και αριστερας  οντας πιο ανθρωπιστές από τους επαγγελματές. "
"4880";"@Sania_Kt Παρακαλώ. "
"4881";"@la_delbarrio Εντάξει αγαπητή μου. Και τώρα εγώ για εσένα έχω καβαλήσει καλάμι επειδή απάντησα στην ειρωνία σου. Τελικά εσείς δεν δέχεστε εδώ μέσα απαντήσεις στις ειρωνίες. Χάρηκα έστω και έτσι"
"4882";"@parallaximag Θα ενοχλουπμαδτε όλο και περισσότεροι, που περπατούμε, μετά την 2η Μαΐου 2020, όταν οι τράπεζες θα εκποιούν σπίτια και θα βγάζουν ανθρώπους στον δρόμο, εκτός κι αν εκποιούν και την κινητή περιούσιος τους στο επερχόμενο eBay Greece..."
"4883";"@failosK Αφού είναι ανθελληνικά σκουπίδια ! Απορώ ποιοι ηλίθιοι πάνε και τους ψηφίζουν !"
"4884";"Έλληνας κάφρος οπαδός: "
"4885";"@Byzoskability Φοβούνται μην χάσει δουλειά το μαγαζί.."
"4886";"Τροπολογία: «Τέλος» οι παροχές σε όσους εγκρίθηκε η αίτηση ασύλου  |  "
"4887";"και μου ρίξανε"
"4888";"@yiannifil Αντιπρύτανης που δουλεύει ταξί ??? Wtf?"
"4889";"Ο Γιάννης έφυγε από το γήπεδο στο τέλος του αγώνα χωρίς να χαιρετίσει τους αντιπάλους..."
"4890";""
"4891";"Φίλοι μου γεια σας"
"4892";"ΚΑΛΗ ΕΠΙΤΥΧΙΑ..."
"4893";"Ουπς "
"4894";" via @sport24"
"4895";"Να ενημερώνεστε για τις τελευταίες εξελίξεις και να λαμβάνετε οδηγίες από αξιόπιστες πηγές."
"4896";"Κατά την ανακάλυψη συμπτωμάτων: Εάν αισθανθείτε αδιαθεσία, μείνετε στο σπίτι και επικοινωνήστε με το γιατρό σας <U+260E><U+FE0F><U+0001F469><U+200D><U+2695><U+FE0F>"
"4897";"@IsidorosLos Αυτό είναι ένα αντιπολιτευτικό ""αφήγημα"" για να να έχετε κάτι ως ""εχθρό"" ώστε να δικαιολογείτε το μίσος σας, ειδικά τώρα που ο Τσίπρας συμφώνησε με τα ""κλειστά σύνορα"" "
"4898";"@cowmen57 <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"4899";"Τον νιωσατε? #seismos"
"4900";"@Satanna33 Απολαυστικό"
"4901";"Μόλις δημοσίευσε μια φωτογραφία "
"4902";"Οι δύο χολιγουντιανοί σταρ και διάσημοι φιλέλληνες, προσκαλούν το διεθνές κοινό να επισκεφθεί τη χώρα μας και να συμμετάσχει στην επέτειο των 200 ετών από την Επανάσταση του 1821, τονίζοντας τις ομορφιές, τις αξίες και τους «θαυμάσιους ανθρώπους» της Ελλάδας!<U+0001F3DB><U+0001F305>"
"4903";"@ms666__ Αρχίζουν τωρα τα ράσα να κάνουν κωλοτουμπες Σου λέει ας έχω το γάιδαρο μου δεμένο οταν θα κολλήσει κάποιος απο την Αγία κοινωνία να του φορτώσω και την ευθύνη οτι ήταν κακός χριστιανός Δηλαδή σα να τους λενε καλά να πάθουν Ποσο πιο αηδιαστικό δε γίνεται"
"4904";"...παραμονεύουν με μαύρες μάσκες και βαριά τηλεσκόπια με τ<U+0092> άστρα στην τσέπη τους...  "
"4905";"<U+0093>Gala<U+0094> με την Αρχαία Ελλάδα στο ΣΚΑΪ  "
"4906";"Μακάρι να γίνει "
"4907";"Μόλις δημοσίευσε μια φωτογραφία @ Jazz in Jazz "
"4908";"@JohnMilonas25 Πολύ κριμα , με αυτο ζήσαμε<U+0001F923>"
"4909";"@PGPapanikolaou Να φανταστώ ο πίνακας του Στάλιν δώρο καθηγητή ΕΜΠ ... Είναι απλό ντεκόρ έτσι..;"
"4910";"Καμιά φορά, τα μαζικά reports εδώ μέσα θυμίζουν το κάψιμο των μαγισσών κάθε δεύτερη Τετάρτη στο Μεσαίωνα..."
"4911";NA
"4912";NA
"4913";NA
"4914";NA
"4915";NA
"4916";NA
"4917";NA
"4918";NA
"4919";NA
"4920";NA
"4921";NA
"4922";NA
"4923";NA
"4924";NA
"4925";NA
"4926";NA
"4927";NA
"4928";NA
"4929";NA
"4930";NA
"4931";NA
"4932";NA
"4933";NA
"4934";NA
"4935";NA
"4936";NA
"4937";NA
"4938";NA
"4939";NA
"4940";NA
"4941";NA
"4942";NA
"4943";NA
"4944";NA
"4945";NA
"4946";NA
"4947";NA
"4948";NA
"4949";NA
"4950";NA
"4951";NA
"4952";NA
"4953";NA
"4954";NA
"4955";NA
"4956";NA
"4957";NA
"4958";NA
"4959";NA
"4960";NA
"4961";NA
"4962";NA
"4963";NA
"4964";NA
"4965";NA
"4966";NA
"4967";"@Vasilis_Agr ντροπή του επαγγέλματος άλλους συναδέλφους. Γιατί λογικά είσαι άμισθος και αν εισαι έμμισθος, ζήτημα να παίρνεις 300 ευρώ. Οποτε κοιτα τώρα. Πουλας οπαδιλίκι,γράφεις για να καλύψεις τα κατουρημένα της ομάδας σου, για ψίχουλα κιόλας και κράζεις άλλους που, κατά κάποιον τρόπο"
"4968";"@Vasilis_Agr Σε αυτή σου ακριβώς την απάντηση, εντοπίζεται η λάθος οπτική σου! Δεν μπορεί να πιστεύεις οτι επειδή βγήκε κάποιος και το διέψευσε, σημαίνει οτι δεν έγινε! Δηλαδη να βγουν να πουν τι;;!! Οτι ναι, γίναμε κώλος στην συνάντηση; Δε γινεται!"
"4969";"@Vasilis_Agr Μα το να γράφεις με ονοματεπώνυμο ρε φιλε, σε έχουν χεσμένο. Ξέρεις γιατί; Γιατί δε σε ξέρει κανένας. Όταν ξαφνικά θα σε διαβάζουν 100.000 άνθρωποι, τότε θα μπεις στον στόχο"
"4970";"Ο Ερντογάν μας χρησιμοποιεί για να πιέσει την ΕΕ: Τι λένε οι πρόσφυγες στην Αδριανούπολη -  "
"4971";"@TerensQuick @Vkikilias Επρεπε να το είχαν προβλέψει. Η vodafon το χρεώνει."
"4972";"ΤΟ ΛΙΟΝΤΑΡΙ ΤΗΣ ΑΜΦΙΠΟΛΗΣ "
"4973";"Οι μπάτσοι της ομάδας ΔΕΛΤΑ κάνουν πογκρόμ στα εξάρχεια πετάνε πέτρες σε καταστήματα και δέρνουν όποιον βρουν #κυβερνηση_Μητσοτακη"
"4974";"... όλη η φιλελευθερη ΕΛΛΑΔΑ ... έχει τέτοιες ιστορίες ... κρυμμένες από τις απειλές των αντιμνημονιακων απατεώνων ! "
"4975";"και ο μαχητής της πάλης των τάξεων Αλεξης να πει ή με τον Αντώνη ή μαζί μου ! "
"4976";"Αν ισχύουν, παίζει να είναι η πρώτη φορά που ο Ολυμπιακός δεν ανασταίνει αντίπαλο σε ντέρμπι. Αν δεν ισχύουν, το χουνέρι που κάνει το @sport24 στον Τράκη είναι μνημειώδες και θα μείνει στην ιστορία. Παίρνω ποπ-κορν κι αράζω για το επόμενο επεισόδιο. #paobc"
"4977";"#NowPlaying on #Mikrasiatis_Radio "
"4978";"#NowPlaying on #Mikrasiatis_Radio "
"4979";"ΘΑ ΑΥΤΟΠΥΡΠΟΛΗΘΟΥΜΕ ΟΛΟΙ ΟΙ ΤΟΥΙΤΕΡΑΔΕΣ #adinamoskrikosgr"
"4980";"#ScandalBook Χριστίνα Πολίτη: Με ποιο κέρινο ομοίωμα σύγκρινε τον σύντροφό της, Κώστα Σπυρόπουλο; "
"4981";"#ScandalBook Ελληνίδα τραγουδίστρια αποκαλύπτει: «Ήμουν μονίμως σε δίαιτα. <U+02BC>πειρες φορές ένιωσα ότι "
"4982";"@IoannisGrammati Προεξοφληθηκε ο κορόνα βαηρους"
"4983";"Στις Βρυξέλλες τη Δευτέρα ο Ερντογάν -  #starbuzz"
"4984";"<U+02BC>μα είναι να κολλήσετε στη δουλειά, θα κολλήσετε. Παραιτηθείτε κιόλας για να μην κολλήσετε. Χρησιμοποιείς αντισηπτικό. Κρατάς μία μικρή απόσταση από τον πελάτη. Αυτά. Ό,τι έκανε και πριν ένας νορμάλ άνθρωπος"
"4985";"Έβρος: Mε γάντζους και τεθωρακισμένα προσπαθούν να ρίξουν το φράχτη (vid) <U+0096> Γιατί ανάβουν φωτιές "
"4986";"Ένταση επικράτησε πριν από λίγο στον Έβρο με χημικά και καπνογόνα. "
"4987";"@VikivikoulaNA Δεν ξέρουνε αυτοί. Είναι καθολικοί."
"4988";"γιατί θα ήταν τρελοί. Η συμφέροντα εξυπηρετούν η θέλουν να κάνουν το διαφορετικό λόγω βλακειας. Η τιμωρία τους θα είναι να μην τσιμπά κανένας και να μην τους απανταμε. οπότε δεν θα έχουν λόγο να γράφουν."
"4989";"Να σε νοιάζονται άνθρωποι που σε γνωρίζουν, πολύ όμορφο."
"4990";"ΑΜΕΣΩΣ ΠΙΣΩ ΣΤΗ ΤΟΥΡΚΙΑ, ΤΗΝ ΙΔΙΑ ΣΤΙΓΜΗ!!!!!!!!! "
"4991";"@Alain_Leroy_ εχω να ξεφτιλιστω 3 βδομαδες νομιζω ηρθε η μερα φιλε"
"4992";"@xmpmo Μα τι λέτε κύριε; Κομουνιστής είστε;...<U+0001F602><U+0001F602><U+0001F602><U+0001F923><U+0001F923><U+0001F923><U+0001F602><U+0001F602><U+0001F923><U+0001F923><U+0001F923>"
"4993";"@Makis_Tr Μετά τά 31 εάν τραβήξεις φύλο, καίγεσαι......"
"4994";"@litsamoumoiazei @VassilisNalba Μην πειράζεις τον Βασίλη καργια"
"4995";"@RexPap @feelgreen_T το σημερινο επεισοδιο εχει λαικ σε σχολια που του γραφουν και αναφερουν τον Πιτινο ως γερο, γεροξεκουτη, ανυπαρκτο και ποσο παιχταρας ειναι που τον αδικει"
"4996";"@stefdeepgreen @YouTube ξέχασες το <U+0001F44A>"
"4997";"@dimitris1395 ""βηχαμε ο ενας πανω στα μουτρα του αλλου για να αποδειξουμε οτι δεν παθαινεις τιποτα"""
"4998";"@satrapis21 Με τρία λαϊκ ο άμοιρος. "
"4999";"- Ελληνική βία στα σύνορα, δεν λυπούνται μωρέ τους καημένους τους ανθρώπους"
"5000";""
"5001";""
"5002";""
"5003";""
"5004";"Η άλλη φωτό φαντάζομαι είναι με τον Ταγίπ να φιλά στοργικά τη καράφλα του Φαπίδη<U+0001F923> "
"5005";"@NMpogiopoulos   Γεια σου κομμούνι!! Με αυτό το άρθρο θα σου απαντώ κάθε φορά που λες περί πανδημίας.... έτσι...όταν θα νοσταλγείς τον Στάλιν σου!!"
"5006";"  Έτσι!!"
"5007";"#GreeceUnderAttack"
"5008";"Το φορολογικό σύστημα στο Βυζάντιο: <U+02BC>μεσοι και έμμεσοι φόροι "
"5009";"Σάλκε <U+0096> Χόφενχαϊμ: Νέο πανό κατά του Χοπ με συγγνώμη στις... πόρνες "
"5010";"Παραβιάσεις στο Αιγαίο: Συνέχισαν τις προκλήσεις και το... Σάββατο! "
"5011";"Κορωνοϊός: <U+02BC>λλα 21 κρούσματα στη χώρα - Έφτασαν τα 66 "
